city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Nome,Nome,AK,Alaska,2180,Nome,64.5213,-165.4053,3685,116.7,shape,FALSE,TRUE,America/Nome,3,99762,1840023510
Savoonga,Savoonga,AK,Alaska,2180,Nome,63.6797,-170.4831,946,55.8,shape,FALSE,TRUE,America/Nome,3,99769,1840023512
Unalakleet,Unalakleet,AK,Alaska,2180,Nome,63.8924,-160.7861,728,103.6,shape,FALSE,TRUE,America/Anchorage,3,99684,1840023501
Brevig Mission,Brevig Mission,AK,Alaska,2180,Nome,65.3413,-166.4953,673,98.6,shape,FALSE,TRUE,America/Nome,3,99785,1840023504
Stebbins,Stebbins,AK,Alaska,2180,Nome,63.4705,-162.2599,646,7.3,shape,FALSE,TRUE,America/Nome,3,99671,1840023499
Shishmaref,Shishmaref,AK,Alaska,2180,Nome,66.2372,-166.1027,560,82.4,shape,FALSE,TRUE,America/Nome,3,99772,1840023498
Gambell,Gambell,AK,Alaska,2180,Nome,63.7538,-171.6881,419,18.2,shape,FALSE,TRUE,America/Nome,3,99742,1840023507
Shaktoolik,Shaktoolik,AK,Alaska,2180,Nome,64.3568,-161.1973,330,117.2,shape,FALSE,TRUE,America/Anchorage,3,99771,1840023497
St. Michael,St. Michael,AK,Alaska,2180,Nome,63.4664,-162.1324,312,6,shape,FALSE,TRUE,America/Nome,3,99659,1840023511
Elim,Elim,AK,Alaska,2180,Nome,64.6186,-162.2763,279,31.9,shape,FALSE,TRUE,America/Nome,3,99739,1840023506
Koyuk,Koyuk,AK,Alaska,2180,Nome,64.9411,-161.1454,276,18.4,shape,FALSE,TRUE,America/Anchorage,3,99753,1840023509
Wales,Wales,AK,Alaska,2180,Nome,65.6119,-168.0773,267,37.2,shape,FALSE,TRUE,America/Nome,3,99783,1840023502
Teller,Teller,AK,Alaska,2180,Nome,65.2531,-166.342,250,61.3,shape,FALSE,TRUE,America/Nome,3,99778,1840023500
White Mountain,White Mountain,AK,Alaska,2180,Nome,64.6812,-163.4228,192,36,shape,FALSE,TRUE,America/Nome,3,99784,1840023503
Golovin,Golovin,AK,Alaska,2180,Nome,64.564,-162.9989,163,13.3,shape,FALSE,TRUE,America/Nome,3,99762,1840023508
Diomede,Diomede,AK,Alaska,2180,Nome,65.7536,-168.9219,80,14.8,shape,FALSE,TRUE,America/Nome,3,99762,1840023505
Port Clarence,Port Clarence,AK,Alaska,2180,Nome,65.1108,-166.7683,46,0.3,shape,FALSE,FALSE,America/Nome,3,99762,1840023578
Utqiagvik,Utqiagvik,AK,Alaska,2185,North Slope,71.2727,-156.7575,5123,89.6,shape,FALSE,TRUE,America/Anchorage,3,99723,1840023481
Prudhoe Bay,Prudhoe Bay,AK,Alaska,2185,North Slope,70.3148,-148.7167,1500,1.4,shape,FALSE,FALSE,America/Anchorage,3,99519 99734,1840023478
Point Hope,Point Hope,AK,Alaska,2185,North Slope,68.3445,-166.6738,925,51,shape,FALSE,TRUE,America/Nome,3,99766,1840023484
Nuiqsut,Nuiqsut,AK,Alaska,2185,North Slope,70.2135,-150.9897,751,23.2,shape,FALSE,TRUE,America/Anchorage,3,99789,1840023483
Wainwright,Wainwright,AK,Alaska,2185,North Slope,70.638,-159.9713,556,16.4,shape,FALSE,TRUE,America/Anchorage,3,99782,1840023476
Anaktuvuk Pass,Anaktuvuk Pass,AK,Alaska,2185,North Slope,68.15,-151.7162,261,18.7,shape,FALSE,TRUE,America/Anchorage,3,99721,1840023479
Kaktovik,Kaktovik,AK,Alaska,2185,North Slope,70.1231,-143.6258,241,88.8,shape,FALSE,TRUE,America/Anchorage,3,99747,1840023482
Point Lay,Point Lay,AK,Alaska,2185,North Slope,69.7443,-162.8678,229,2.4,shape,FALSE,FALSE,America/Nome,3,99759,1840023477
Atqasuk,Atqasuk,AK,Alaska,2185,North Slope,70.481,-157.3835,181,1.3,shape,FALSE,TRUE,America/Anchorage,3,99791,1840023480
Kotzebue,Kotzebue,AK,Alaska,2188,Northwest Arctic,66.8766,-162.5231,3199,51.2,shape,FALSE,TRUE,America/Nome,3,99752,1840023494
Kivalina,Kivalina,AK,Alaska,2188,Northwest Arctic,67.733,-164.5212,905,183.7,shape,FALSE,TRUE,America/Nome,3,99750,1840023492
Buckland,Buckland,AK,Alaska,2188,Northwest Arctic,65.9784,-161.1341,677,310.1,shape,FALSE,TRUE,America/Anchorage,3,99727,1840023489
Selawik,Selawik,AK,Alaska,2188,Northwest Arctic,66.5988,-159.9995,659,120.6,shape,FALSE,TRUE,America/Anchorage,3,99770,1840023496
Noorvik,Noorvik,AK,Alaska,2188,Northwest Arctic,66.8292,-161.0377,602,258.9,shape,FALSE,TRUE,America/Anchorage,3,99763,1840023495
Noatak,Noatak,AK,Alaska,2188,Northwest Arctic,67.5986,-163.0309,488,10.2,shape,FALSE,FALSE,America/Nome,3,99761,1840023486
Kiana,Kiana,AK,Alaska,2188,Northwest Arctic,66.9727,-160.4343,372,414.1,shape,FALSE,TRUE,America/Anchorage,3,99749,1840023491
Ambler,Ambler,AK,Alaska,2188,Northwest Arctic,67.0897,-157.8725,273,10.3,shape,FALSE,TRUE,America/Anchorage,3,99786,1840023488
Shungnak,Shungnak,AK,Alaska,2188,Northwest Arctic,66.8805,-157.1499,204,10.1,shape,FALSE,TRUE,America/Anchorage,3,99773,1840023485
Deering,Deering,AK,Alaska,2188,Northwest Arctic,66.0722,-162.7435,163,11.5,shape,FALSE,TRUE,America/Nome,3,99736,1840023490
Kobuk,Kobuk,AK,Alaska,2188,Northwest Arctic,66.931,-156.8939,156,3.8,shape,FALSE,TRUE,America/Anchorage,3,99751,1840023493
Red Dog Mine,Red Dog Mine,AK,Alaska,2188,Northwest Arctic,68.0645,-162.8667,0,1.8,shape,FALSE,FALSE,America/Nome,3,99752,1840023487
Petersburg,Petersburg,AK,Alaska,2195,Petersburg,56.7566,-132.8727,3259,27.7,shape,FALSE,FALSE,America/Sitka,3,99833,1840023308
Kupreanof,Kupreanof,AK,Alaska,2195,Petersburg,56.809,-132.9889,14,13.5,shape,FALSE,TRUE,America/Sitka,3,99833,1840023642
Hobart Bay,Hobart Bay,AK,Alaska,2195,Petersburg,57.4212,-133.3231,0,0,shape,FALSE,FALSE,America/Juneau,3,99833,1840023675
Metlakatla,Metlakatla,AK,Alaska,2198,Prince of Wales-Hyder,55.1182,-131.5689,1445,264.9,shape,FALSE,FALSE,America/Metlakatla,3,99926,1840023513
Craig,Craig,AK,Alaska,2198,Prince of Wales-Hyder,55.4918,-133.1165,1102,69.6,shape,FALSE,TRUE,America/Sitka,3,99921,1840023520
Klawock,Klawock,AK,Alaska,2198,Prince of Wales-Hyder,55.5556,-133.0868,805,484.9,shape,FALSE,TRUE,America/Sitka,3,99925,1840023523
Thorne Bay,Thorne Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.6652,-132.5337,470,6.5,shape,FALSE,TRUE,America/Sitka,3,99919,1840023517
Kake,Kake,AK,Alaska,2198,Prince of Wales-Hyder,56.9729,-133.9148,447,25,shape,FALSE,TRUE,America/Sitka,3,99830,1840023307
Hydaburg,Hydaburg,AK,Alaska,2198,Prince of Wales-Hyder,55.2061,-132.8208,319,352.4,shape,FALSE,TRUE,America/Sitka,3,99922,1840023521
Coffman Cove,Coffman Cove,AK,Alaska,2198,Prince of Wales-Hyder,56.0057,-132.8395,206,7.8,shape,FALSE,TRUE,America/Sitka,3,99918,1840023519
Hollis,Hollis,AK,Alaska,2198,Prince of Wales-Hyder,55.5113,-132.7023,201,1.2,shape,FALSE,FALSE,America/Sitka,3,99921,1840023515
Naukati Bay,Naukati Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.8801,-133.1992,110,8.9,shape,FALSE,FALSE,America/Sitka,3,99921,1840023516
Whale Pass,Whale Pass,AK,Alaska,2198,Prince of Wales-Hyder,56.1053,-133.1243,95,2,shape,FALSE,TRUE,America/Sitka,3,99921,1840023644
Kasaan,Kasaan,AK,Alaska,2198,Prince of Wales-Hyder,55.5572,-132.4136,92,6.4,shape,FALSE,TRUE,America/Sitka,3,99919,1840023522
Edna Bay,Edna Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.964,-133.6662,39,0.1,shape,FALSE,TRUE,America/Sitka,3,99921,1840000514
Port Alexander,Port Alexander,AK,Alaska,2198,Prince of Wales-Hyder,56.2346,-134.6532,38,8.2,shape,FALSE,TRUE,America/Sitka,3,99836,1840023638
Hyder,Hyder,AK,Alaska,2198,Prince of Wales-Hyder,55.9816,-130.0383,13,0.4,shape,FALSE,FALSE,America/Sitka,3,99923,1840023524
Port Protection,Port Protection,AK,Alaska,2198,Prince of Wales-Hyder,56.3293,-133.594,11,5.2,shape,FALSE,FALSE,America/Sitka,3,99927,1840023686
Point Baker,Point Baker,AK,Alaska,2198,Prince of Wales-Hyder,56.3483,-133.6165,0,6,shape,FALSE,FALSE,America/Sitka,3,99927,1840023518
Sitka,Sitka,AK,Alaska,2220,Sitka,57.2401,-135.3152,8518,1.2,shape,FALSE,TRUE,America/Sitka,3,99835,1840023319
Skagway,Skagway,AK,Alaska,2230,Skagway,59.4566,-135.2927,1217,48.7,shape,FALSE,FALSE,America/Juneau,3,99840,1840023311
Deltana,Deltana,AK,Alaska,2240,Southeast Fairbanks,63.8723,-145.2158,2022,1.4,shape,FALSE,TRUE,America/Anchorage,4,99737 99731,1840075067
Tok,Tok,AK,Alaska,2240,Southeast Fairbanks,63.329,-143.0379,1315,3.5,shape,FALSE,FALSE,America/Anchorage,3,99780,1840023473
Delta Junction,Delta Junction,AK,Alaska,2240,Southeast Fairbanks,64.0603,-145.7058,1259,32.9,shape,FALSE,TRUE,America/Anchorage,3,99737,1840023474
Big Delta,Big Delta,AK,Alaska,2240,Southeast Fairbanks,64.1486,-145.7453,521,5.2,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023468
Northway,Northway,AK,Alaska,2240,Southeast Fairbanks,62.9709,-141.6173,304,0.5,shape,FALSE,FALSE,America/Anchorage,3,99764,1840023470
Tetlin,Tetlin,AK,Alaska,2240,Southeast Fairbanks,63.1481,-142.4947,246,1.3,shape,FALSE,FALSE,America/Anchorage,3,99780,1840023472
Dry Creek,Dry Creek,AK,Alaska,2240,Southeast Fairbanks,63.6255,-144.6364,232,6.4,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023670
Alcan Border,Alcan Border,AK,Alaska,2240,Southeast Fairbanks,62.6727,-141.1321,170,0.1,shape,FALSE,TRUE,America/Anchorage,4,99764,1840075086
Fort Greely,Fort Greely,AK,Alaska,2240,Southeast Fairbanks,63.9678,-145.7149,150,4.7,shape,TRUE,TRUE,America/Anchorage,4,99737,1840037586
Eagle,Eagle,AK,Alaska,2240,Southeast Fairbanks,64.7813,-141.1979,107,47.7,shape,FALSE,TRUE,America/Anchorage,3,99738,1840023475
Tanacross,Tanacross,AK,Alaska,2240,Southeast Fairbanks,63.3523,-143.4318,107,0,shape,FALSE,FALSE,America/Anchorage,3,99776,1840023471
Eagle Village,Eagle Village,AK,Alaska,2240,Southeast Fairbanks,64.7434,-141.1138,33,1.1,shape,FALSE,FALSE,America/Anchorage,3,99738,1840023467
Whitestone,Whitestone,AK,Alaska,2240,Southeast Fairbanks,64.1527,-145.9061,31,3.3,shape,FALSE,TRUE,America/Anchorage,5,99737,1840075218
Healy Lake,Healy Lake,AK,Alaska,2240,Southeast Fairbanks,64.0281,-144.6331,23,0,shape,FALSE,FALSE,America/Anchorage,3,99706,1840023693
Chicken,Chicken,AK,Alaska,2240,Southeast Fairbanks,64.0878,-141.8285,12,0,shape,FALSE,FALSE,America/Anchorage,3,99732,1840023469
Dot Lake Village,Dot Lake Village,AK,Alaska,2240,Southeast Fairbanks,63.6626,-144.0162,11,1.9,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023652
Dot Lake,Dot Lake,AK,Alaska,2240,Southeast Fairbanks,63.5749,-144.1815,0,0,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023466
King Cove,King Cove,AK,Alaska,2013,Aleutians East,55.0858,-162.2978,1238,18,shape,FALSE,TRUE,America/Nome,3,99612,1840023268
Sand Point,Sand Point,AK,Alaska,2013,Aleutians East,55.3227,-160.4834,1164,57.2,shape,FALSE,TRUE,America/Anchorage,3,99661,1840023269
Akutan,Akutan,AK,Alaska,2013,Aleutians East,54.1594,-165.7328,700,4.4,shape,FALSE,TRUE,America/Nome,3,99553,1840023265
False Pass,False Pass,AK,Alaska,2013,Aleutians East,54.8416,-163.348,106,1.2,shape,FALSE,TRUE,America/Nome,3,99583,1840000481
Cold Bay,Cold Bay,AK,Alaska,2013,Aleutians East,55.2122,-162.7475,103,0,shape,FALSE,TRUE,America/Nome,3,99571,1840000464
Nelson Lagoon,Nelson Lagoon,AK,Alaska,2013,Aleutians East,55.8451,-161.6103,98,0,shape,FALSE,FALSE,America/Anchorage,3,99571,1840023624
Unalaska,Unalaska,AK,Alaska,2016,Aleutians West,53.8984,-166.568,4339,18,shape,FALSE,TRUE,America/Nome,3,99692 99685,1840023260
St. Paul,St. Paul,AK,Alaska,2016,Aleutians West,57.1815,-170.2743,351,3.6,shape,FALSE,TRUE,America/Nome,3,99660,1840023264
Eareckson Station,Eareckson Station,AK,Alaska,2016,Aleutians West,52.7213,174.111,202,13,shape,TRUE,FALSE,America/Adak,4,,1840152942
Adak,Adak,AK,Alaska,2016,Aleutians West,51.8815,-176.6295,190,2.2,shape,FALSE,TRUE,America/Adak,3,99546,1840023261
St. George,St. George,AK,Alaska,2016,Aleutians West,56.5791,-169.6114,95,1.1,shape,FALSE,TRUE,America/Nome,3,99591,1840023263
Atka,Atka,AK,Alaska,2016,Aleutians West,52.2301,-174.2133,38,2,shape,FALSE,TRUE,America/Adak,3,99547,1840023262
Attu Station,Attu Station,AK,Alaska,2016,Aleutians West,52.8955,173.123,19,0,shape,FALSE,TRUE,America/Adak,5,,1840037663
Nikolski,Nikolski,AK,Alaska,2016,Aleutians West,53.0133,-168.7536,17,0,shape,FALSE,FALSE,America/Nome,3,99638,1840023259
Wrangell,Wrangell,AK,Alaska,2275,Wrangell,56.3317,-132.0223,2162,1.2,shape,FALSE,TRUE,America/Sitka,3,99903 99929,1840000416
Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,292545,66.1,shape,FALSE,TRUE,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
Yakutat,Yakutat,AK,Alaska,2282,Yakutat,59.567,-139.5966,562,2.3,shape,FALSE,FALSE,America/Yakutat,3,99689,1840023424
Fort Yukon,Fort Yukon,AK,Alaska,2290,Yukon-Koyukuk,66.5806,-145.2415,520,27.1,shape,FALSE,TRUE,America/Anchorage,3,99740,1840023446
Galena,Galena,AK,Alaska,2290,Yukon-Koyukuk,64.7381,-156.8635,519,11,shape,FALSE,TRUE,America/Anchorage,3,99741,1840023447
Nenana,Nenana,AK,Alaska,2290,Yukon-Koyukuk,64.5384,-149.0856,506,31.3,shape,FALSE,TRUE,America/Anchorage,3,99760,1840023455
Nulato,Nulato,AK,Alaska,2290,Yukon-Koyukuk,64.7052,-158.2382,296,2.8,shape,FALSE,TRUE,America/Anchorage,3,99765,1840023457
Holy Cross,Holy Cross,AK,Alaska,2290,Yukon-Koyukuk,62.1868,-159.8198,290,3.4,shape,FALSE,TRUE,America/Anchorage,3,99602,1840023449
Grayling,Grayling,AK,Alaska,2290,Yukon-Koyukuk,62.8998,-160.1078,236,6.9,shape,FALSE,TRUE,America/Anchorage,3,99590,1840023448
Huslia,Huslia,AK,Alaska,2290,Yukon-Koyukuk,65.7001,-156.3386,230,6.7,shape,FALSE,TRUE,America/Anchorage,3,99746,1840023451
McGrath,McGrath,AK,Alaska,2290,Yukon-Koyukuk,62.9424,-155.563,226,2.1,shape,FALSE,TRUE,America/Anchorage,3,99627,1840023454
Arctic Village,Arctic Village,AK,Alaska,2290,Yukon-Koyukuk,68.1421,-145.4956,225,1.4,shape,FALSE,FALSE,America/Anchorage,3,99722,1840023431
Coldfoot,Coldfoot,AK,Alaska,2290,Yukon-Koyukuk,67.2475,-150.1079,223,2.9,shape,FALSE,FALSE,America/Anchorage,3,99701,1840023436
Kaltag,Kaltag,AK,Alaska,2290,Yukon-Koyukuk,64.3223,-158.7436,216,3.7,shape,FALSE,TRUE,America/Anchorage,3,99748,1840023452
Allakaket,Allakaket,AK,Alaska,2290,Yukon-Koyukuk,66.5506,-152.627,213,5.5,shape,FALSE,TRUE,America/Anchorage,3,99720,1840023443
Ruby,Ruby,AK,Alaska,2290,Yukon-Koyukuk,64.7233,-155.5005,200,10.4,shape,FALSE,TRUE,America/Anchorage,3,99768,1840023458
Tanana,Tanana,AK,Alaska,2290,Yukon-Koyukuk,65.1746,-152.0686,190,6.3,shape,FALSE,TRUE,America/Anchorage,3,99777,1840023437
Minto,Minto,AK,Alaska,2290,Yukon-Koyukuk,65.1033,-149.5565,151,0,shape,FALSE,FALSE,America/Anchorage,3,99758,1840023429
Chalkyitsik,Chalkyitsik,AK,Alaska,2290,Yukon-Koyukuk,66.6469,-143.7821,110,5.4,shape,FALSE,FALSE,America/Anchorage,3,99788,1840023434
Venetie,Venetie,AK,Alaska,2290,Yukon-Koyukuk,67.0206,-146.3741,109,2.1,shape,FALSE,FALSE,America/Anchorage,3,99781,1840023441
Nikolai,Nikolai,AK,Alaska,2290,Yukon-Koyukuk,63.0095,-154.3763,104,10.1,shape,FALSE,TRUE,America/Anchorage,3,99691,1840023456
Beaver,Beaver,AK,Alaska,2290,Yukon-Koyukuk,66.383,-147.3219,93,1.7,shape,FALSE,FALSE,America/Anchorage,3,99724,1840023432
Anvik,Anvik,AK,Alaska,2290,Yukon-Koyukuk,62.6541,-160.214,93,3.5,shape,FALSE,TRUE,America/Anchorage,3,99558,1840023444
Rampart,Rampart,AK,Alaska,2290,Yukon-Koyukuk,65.4087,-149.9915,67,0,shape,FALSE,FALSE,America/Anchorage,3,99767,1840023438
Takotna,Takotna,AK,Alaska,2290,Yukon-Koyukuk,62.9827,-156.0838,58,2.3,shape,FALSE,FALSE,America/Anchorage,3,99675,1840023440
Koyukuk,Koyukuk,AK,Alaska,2290,Yukon-Koyukuk,64.9008,-157.6946,57,3.5,shape,FALSE,TRUE,America/Anchorage,3,99754,1840023453
Central,Central,AK,Alaska,2290,Yukon-Koyukuk,65.5213,-144.6409,51,0.1,shape,FALSE,FALSE,America/Anchorage,3,99730,1840023433
Shageluk,Shageluk,AK,Alaska,2290,Yukon-Koyukuk,62.6684,-159.563,42,2.1,shape,FALSE,TRUE,America/Anchorage,3,99665,1840023459
Hughes,Hughes,AK,Alaska,2290,Yukon-Koyukuk,66.0452,-154.2376,41,7.1,shape,FALSE,TRUE,America/Anchorage,3,99745,1840023450
Alatna,Alatna,AK,Alaska,2290,Yukon-Koyukuk,66.5638,-152.8385,41,0.2,shape,FALSE,FALSE,America/Anchorage,3,99720,1840023430
Manley Hot Springs,Manley Hot Springs,AK,Alaska,2290,Yukon-Koyukuk,65.0187,-150.6453,35,1.2,shape,FALSE,FALSE,America/Anchorage,3,99756,1840023428
Circle,Circle,AK,Alaska,2290,Yukon-Koyukuk,65.7936,-144.1813,29,0.3,shape,FALSE,FALSE,America/Anchorage,3,99733,1840023435
Evansville,Evansville,AK,Alaska,2290,Yukon-Koyukuk,66.9206,-151.4201,17,0,shape,FALSE,FALSE,America/Anchorage,3,99726,1840023546
Lake Minchumina,Lake Minchumina,AK,Alaska,2290,Yukon-Koyukuk,63.7981,-152.3446,15,0,shape,FALSE,FALSE,America/Anchorage,3,99757,1840023426
Wiseman,Wiseman,AK,Alaska,2290,Yukon-Koyukuk,67.437,-150.1334,13,0,shape,FALSE,FALSE,America/Anchorage,3,99701,1840023442
Livengood,Livengood,AK,Alaska,2290,Yukon-Koyukuk,65.4817,-148.4171,9,0,shape,FALSE,FALSE,America/Anchorage,3,99790,1840023427
Stevens Village,Stevens Village,AK,Alaska,2290,Yukon-Koyukuk,66.025,-149.0802,9,1.3,shape,FALSE,FALSE,America/Anchorage,3,99774,1840023439
Four Mile Road,Four Mile Road,AK,Alaska,2290,Yukon-Koyukuk,64.6045,-149.1223,4,1.3,shape,FALSE,TRUE,America/Anchorage,5,99760,1840075076
Birch Creek,Birch Creek,AK,Alaska,2290,Yukon-Koyukuk,66.2686,-145.8699,3,0.6,shape,FALSE,FALSE,America/Anchorage,3,99730,1840023530
Bettles,Bettles,AK,Alaska,2290,Yukon-Koyukuk,66.9088,-151.5362,2,0.6,shape,FALSE,TRUE,America/Anchorage,3,99726,1840023445
Flat,Flat,AK,Alaska,2290,Yukon-Koyukuk,62.4415,-158.0405,0,0,shape,FALSE,FALSE,America/Anchorage,3,99503,1840023425
Jackson,Jackson,AL,Alabama,1025,Clarke,31.5318,-87.8915,4774,116.8,shape,FALSE,TRUE,America/Chicago,3,36545,1840014935
Thomasville,Thomasville,AL,Alabama,1025,Clarke,31.911,-87.7419,3653,171.4,shape,FALSE,TRUE,America/Chicago,3,36784,1840015849
Grove Hill,Grove Hill,AL,Alabama,1025,Clarke,31.7006,-87.7748,2069,102.3,shape,FALSE,TRUE,America/Chicago,4,36451,1840005924
Fulton,Fulton,AL,Alabama,1025,Clarke,31.7916,-87.7396,446,51.5,shape,FALSE,TRUE,America/Chicago,4,36446 36451,1840002425
Whatley,Whatley,AL,Alabama,1025,Clarke,31.6463,-87.7108,315,83.4,shape,FALSE,FALSE,America/Chicago,3,36482,1840025933
Coffeeville,Coffeeville,AL,Alabama,1025,Clarke,31.7666,-88.0861,240,28.2,shape,FALSE,TRUE,America/Chicago,3,36524,1840017049
Carlton,Carlton,AL,Alabama,1025,Clarke,31.343,-87.8378,54,4.9,shape,FALSE,FALSE,America/Chicago,3,36545,1840025932
Rockville,Rockville,AL,Alabama,1025,Clarke,31.4058,-87.8442,0,2.5,shape,FALSE,FALSE,America/Chicago,3,36545,1840027002
Lineville,Lineville,AL,Alabama,1027,Clay,33.3129,-85.7508,2598,99.9,shape,FALSE,TRUE,America/Chicago,4,36266,1840008076
Ashland,Ashland,AL,Alabama,1027,Clay,33.2703,-85.8337,1741,88.3,shape,FALSE,TRUE,America/Chicago,4,36251,1840006738
Hollins,Hollins,AL,Alabama,1027,Clay,33.1214,-86.129,758,31.5,shape,FALSE,FALSE,America/Chicago,3,35072,1840022973
Millerville,Millerville,AL,Alabama,1027,Clay,33.1926,-85.9302,376,22.4,shape,FALSE,FALSE,America/Chicago,3,35072 36267 36251,1840022974
Delta,Delta,AL,Alabama,1027,Clay,33.447,-85.6746,158,5.9,shape,FALSE,FALSE,America/Chicago,3,36258,1840022972
Heflin,Heflin,AL,Alabama,1029,Cleburne,33.647,-85.5698,3416,82.7,shape,FALSE,TRUE,America/Chicago,4,36264,1840007380
Hollis Crossroads,Hollis Crossroads,AL,Alabama,1029,Cleburne,33.5231,-85.6437,676,21.5,shape,FALSE,FALSE,America/Chicago,3,36264 36258,1840022933
Ranburne,Ranburne,AL,Alabama,1029,Cleburne,33.5259,-85.339,560,123.7,shape,FALSE,TRUE,America/Chicago,3,36273,1840017996
Fruithurst,Fruithurst,AL,Alabama,1029,Cleburne,33.7295,-85.4313,403,166.4,shape,FALSE,TRUE,America/Chicago,4,36262,1840002170
Edwardsville,Edwardsville,AL,Alabama,1029,Cleburne,33.8409,-85.4523,183,5.6,shape,FALSE,TRUE,America/Chicago,4,36262 36272 36261,1840007129
Enterprise,Enterprise,AL,Alabama,1031,Coffee,31.3275,-85.8463,28242,351.3,shape,FALSE,TRUE,America/Chicago,3,36330 36331,1840001548
Elba,Elba,AL,Alabama,1031,Coffee,31.4172,-86.0759,3449,97.5,shape,FALSE,TRUE,America/Chicago,4,36323,1840001532
New Brockton,New Brockton,AL,Alabama,1031,Coffee,31.3785,-85.9228,1210,54.7,shape,FALSE,TRUE,America/Chicago,3,36351,1840017091
Kinston,Kinston,AL,Alabama,1031,Coffee,31.22,-86.1705,793,61.9,shape,FALSE,TRUE,America/Chicago,3,36467 36453,1840017090
Muscle Shoals,Muscle Shoals,AL,Alabama,1033,Colbert,34.7432,-87.6343,15969,330.4,shape,FALSE,TRUE,America/Chicago,3,35661 35674 35662,1840014657
Sheffield,Sheffield,AL,Alabama,1033,Colbert,34.757,-87.6977,9305,495.6,shape,FALSE,TRUE,America/Chicago,3,35660,1840015537
Tuscumbia,Tuscumbia,AL,Alabama,1033,Colbert,34.7204,-87.7035,8977,353.8,shape,FALSE,TRUE,America/Chicago,3,35674,1840005567
Cherokee,Cherokee,AL,Alabama,1033,Colbert,34.7577,-87.967,911,152.6,shape,FALSE,TRUE,America/Chicago,3,35616,1840016548
Littleville,Littleville,AL,Alabama,1033,Colbert,34.595,-87.6719,873,73.7,shape,FALSE,TRUE,America/Chicago,3,35674 35654,1840016547
Leighton,Leighton,AL,Alabama,1033,Colbert,34.6941,-87.5282,687,141.2,shape,FALSE,TRUE,America/Chicago,3,35646,1840016546
Evergreen,Evergreen,AL,Alabama,1035,Conecuh,31.4342,-86.9723,3504,70.2,shape,FALSE,TRUE,America/Chicago,4,36401,1840001842
Castleberry,Castleberry,AL,Alabama,1035,Conecuh,31.3001,-87.0269,401,96.1,shape,FALSE,TRUE,America/Chicago,3,36432,1840017079
Repton,Repton,AL,Alabama,1035,Conecuh,31.4096,-87.2394,329,177.5,shape,FALSE,TRUE,America/Chicago,3,36475,1840018171
Stewartville,Stewartville,AL,Alabama,1037,Coosa,33.0725,-86.2658,1804,28.9,shape,FALSE,FALSE,America/Chicago,3,35151 35183,1840023022
Goodwater,Goodwater,AL,Alabama,1037,Coosa,33.0608,-86.0516,1172,81.8,shape,FALSE,TRUE,America/Chicago,4,35072,1840007377
Rockford,Rockford,AL,Alabama,1037,Coosa,32.8895,-86.215,986,103.4,shape,FALSE,TRUE,America/Chicago,4,35136,1840005393
Nixburg,Nixburg,AL,Alabama,1037,Coosa,32.864,-86.0976,438,19.7,shape,FALSE,FALSE,America/Chicago,3,35010 35089,1840042839
Ray,Ray,AL,Alabama,1037,Coosa,32.8795,-86.0388,399,19,shape,FALSE,FALSE,America/Chicago,3,35010,1840023021
Weogufka,Weogufka,AL,Alabama,1037,Coosa,33.0219,-86.3096,308,19.4,shape,FALSE,FALSE,America/Chicago,3,35151 35183,1840023023
Hissop,Hissop,AL,Alabama,1037,Coosa,32.8815,-86.1285,208,7.7,shape,FALSE,FALSE,America/Chicago,3,35136 35089,1840023019
Kellyton,Kellyton,AL,Alabama,1037,Coosa,32.9791,-86.0358,126,69.9,shape,FALSE,TRUE,America/Chicago,3,35089,1840016916
Equality,Equality,AL,Alabama,1037,Coosa,32.7634,-86.106,67,5.6,shape,FALSE,FALSE,America/Chicago,3,36026,1840041100
Hanover,Hanover,AL,Alabama,1037,Coosa,33.0029,-86.199,61,3.4,shape,FALSE,FALSE,America/Chicago,3,35072 35136,1840043375
Andalusia,Andalusia,AL,Alabama,1039,Covington,31.3102,-86.4781,8764,171.3,shape,FALSE,TRUE,America/Chicago,4,36420 36421,1840004591
Opp,Opp,AL,Alabama,1039,Covington,31.2848,-86.257,6671,104.5,shape,FALSE,TRUE,America/Chicago,3,36467,1840014960
Florala,Florala,AL,Alabama,1039,Covington,31.0176,-86.3138,1779,66.4,shape,FALSE,TRUE,America/Chicago,4,36442,1840007209
River Falls,River Falls,AL,Alabama,1039,Covington,31.3525,-86.5412,603,31.1,shape,FALSE,TRUE,America/Chicago,3,36474 36476 36421,1840018177
