Incident_ID,Incident_Date,State,City_Or_County,__Victims_Injured,__Victims_Killed
2286061,"April 24, 2022",Indiana,Lafayette,3,2
2308096,"May 21, 2022",Indiana,Goshen,3,1
2232476,"February 12, 2022",Arkansas,"Little Rock",3,1
2434326,"October 9, 2022",Arkansas,Jacksonville,3,1
2300713,"May 12, 2022",Arkansas,"Hot Springs National Park (Hot Springs)",3,1
2349545,"July 4, 2022",Colorado,Denver,3,1
2250540,"March 9, 2022",Colorado,Aurora,3,1
2207406,"January 9, 2022",Colorado,"Colorado Springs",3,2
2315190,"May 28, 2022",Colorado,"Colorado Springs",3,1
2399670,"August 28, 2022",Colorado,Denver,3,1
2345410,"July 1, 2022",Illinois,Chicago,3,2
2234868,"February 15, 2022",Illinois,Joliet,3,1
2315892,"May 29, 2022",Illinois,Chicago,3,1
2443849,"October 24, 2022",Illinois,Chicago,3,1
2338902,"June 23, 2022",Illinois,Chicago,3,1
2464352,"November 19, 2022",Illinois,"Washington Park",3,1
2453865,"November 6, 2022",Illinois,Chicago,3,1
2450557,"October 31, 2022",Illinois,"East St. Louis",3,2
2374990,"July 31, 2022",Illinois,Decatur,3,1
2296191,"May 7, 2022",Kentucky,Lexington,3,2
2245620,"March 2, 2022",Maryland,Baltimore,3,1
2405859,"September 3, 2022",Maryland,"Capitol Heights",3,1
2298591,"May 10, 2022",Maryland,Baltimore,3,1
2386878,"August 14, 2022",Maryland,Baltimore,3,1
2280495,"April 16, 2022",Maryland,Baltimore,3,1
2420637,"September 20, 2022",Michigan,Niles,3,2
2334936,"June 19, 2022",Michigan,Detroit,3,1
2321693,"June 5, 2022",Michigan,"Grand Rapids",3,1
2407739,"September 5, 2022",Missouri,"St. Louis",3,1
2299793,"May 11, 2022",Missouri,"St. Louis",3,1
2385846,"August 12, 2022",Missouri,"St. Louis",3,1
2320862,"June 3, 2022",Nebraska,Omaha,3,1
2417634,"September 18, 2022","New York","Corona (Queens)",3,1
2347228,"July 2, 2022","New York","Corona (Queens)",3,1
2301751,"May 14, 2022","New York",Buffalo,3,10
2210480,"January 13, 2022","New York",Brooklyn,3,1
2489614,"December 28, 2022","New York",Bronx,3,1
2349723,"July 5, 2022","New York",Rochester,3,1
2321698,"June 4, 2022","New York",Hempstead,3,1
2277011,"April 12, 2022","New York",Bronx,3,1
2427775,"September 30, 2022",Oklahoma,Tulsa,3,1
2269034,"April 2, 2022",Louisiana,Shreveport,3,1
2371416,"July 27, 2022",Louisiana,Hahnville,3,1
2307813,"May 20, 2022",Louisiana,"New Orleans",3,1
2442632,"October 21, 2022",Louisiana,"New Orleans",3,1
2289308,"April 27, 2022",Louisiana,Opelousas,3,2
2373924,"July 30, 2022",Louisiana,Monroe,3,1
2238575,"February 21, 2022",Minnesota,"St. Paul",3,1
2247617,"March 6, 2022",Minnesota,Minneapolis,3,1
2411901,"September 9, 2022",Minnesota,Minneapolis,3,1
2448898,"October 30, 2022",Tennessee,Memphis,3,1
2378851,"August 4, 2022",Tennessee,Nashville,3,1
2393758,"August 21, 2022",Tennessee,Memphis,3,1
2408990,"September 7, 2022",Tennessee,Memphis,3,3
2491054,"December 30, 2022",Tennessee,Memphis,3,1
2201641,"January 1, 2022",Wisconsin,Kenosha,3,1
2315338,"May 28, 2022",California,Fresno,3,1
2433352,"October 8, 2022",California,Berkeley,3,1
2459259,"November 12, 2022",California,Indio,3,1
2264094,"March 26, 2022",California,Hollister,3,2
2305208,"May 17, 2022",California,"Palo Alto (East Palo Alto)",3,1
2260129,"March 22, 2022",California,Stockton,3,1
2315333,"May 28, 2022",California,Merced,3,1
2484083,"December 18, 2022",California,"Santa Ana",3,1
2434847,"October 10, 2022",California,Delano,3,1
2281164,"April 17, 2022",California,Sacramento,3,1
2375725,"August 1, 2022",California,Paramount,3,1
2256080,"March 16, 2022","New Jersey",Irvington,3,1
2255832,"March 16, 2022","New Jersey",Irvington,3,1
2227187,"February 5, 2022","New Mexico","Las Cruces",3,1
2399000,"August 27, 2022",Washington,Spokane,3,1
2270578,"April 4, 2022",Connecticut,Hartford,3,1
2450590,"October 21, 2022",Mississippi,Cleveland,3,1
2383958,"August 10, 2022",Mississippi,Winona,3,1
2451550,"November 2, 2022",Mississippi,Hattiesburg,3,2
2205024,"January 4, 2022",Mississippi,Jackson,3,1
2487989,"December 24, 2022",Mississippi,Columbus,3,1
2253714,"March 14, 2022",Pennsylvania,Reading,3,1
2381371,"August 7, 2022",Pennsylvania,Pittsburgh,3,1
2385789,"August 12, 2022",Pennsylvania,Philadelphia,3,1
2268723,"April 2, 2022","North Carolina",Shelby,3,1
2258012,"March 19, 2022","North Carolina",Fayetteville,3,3
2412487,"September 11, 2022","North Carolina",Durham,3,1
2224013,"January 31, 2022","North Carolina",Raleigh,3,1
2286363,"April 24, 2022","South Carolina","Myrtle Beach",3,1
2247622,"March 6, 2022","South Carolina",Chester,3,2
2242345,"February 26, 2022","South Carolina","North Charleston",3,1
2292613,"May 1, 2022","South Carolina","North Charleston",3,1
2368110,"July 24, 2022","South Carolina",Bennettsville,3,1
2431594,"October 6, 2022","District of Columbia",Washington,3,1
2396536,"August 24, 2022","District of Columbia",Washington,3,2
2361532,"July 16, 2022","District of Columbia",Washington,3,1
2334920,"June 19, 2022","District of Columbia",Washington,3,1
2238165,"February 20, 2022",Iowa,"Des Moines",4,0
2393474,"August 20, 2022",Delaware,Wilmington,4,0
2291578,"May 1, 2022",Ohio,Springfield,4,1
2265029,"March 26, 2022",Ohio,Cleveland,4,0
2285242,"April 22, 2022",Ohio,Cincinnati,4,0
2352342,"July 5, 2022",Ohio,Steubenville,4,0
2388144,"August 13, 2022",Ohio,Cleveland,4,1
2347060,"July 2, 2022",Texas,"Haltom City",4,2
2258156,"March 20, 2022",Texas,Austin,4,0
2455710,"November 7, 2022",Texas,"Mcallen (McAllen)",4,0
2247828,"March 6, 2022",Texas,Lubbock,4,0
2303337,"May 15, 2022",Texas,Amarillo,4,1
2451028,"November 2, 2022",Texas,Houston,4,0
2464272,"November 20, 2022",Texas,Dallas,4,0
2472924,"December 1, 2022",Texas,"San Antonio",4,0
2459005,"November 12, 2022",Texas,"Fort Worth",4,0
2214306,"January 17, 2022",Texas,"San Antonio",4,1
2241299,"February 24, 2022",Texas,"San Antonio",4,0
2367664,"July 23, 2022",Texas,"El Paso",4,0
2318046,"May 31, 2022",Texas,Waco,4,0
2316364,"May 29, 2022",Texas,Houston,4,0
2294515,"May 3, 2022",Kansas,"Cowley (county)",4,0
2281244,"April 16, 2022",Nevada,"North Las Vegas",4,0
2432772,"October 7, 2022",Oregon,Portland,4,0
2426382,"September 28, 2022",Alabama,Uniontown,4,0
2355962,"July 9, 2022",Alabama,"Jacksons Gap",4,0
2468642,"November 26, 2022",Alabama,Mobile,4,0
2381000,"August 7, 2022",Alabama,Birmingham,4,1
2386954,"August 14, 2022",Arizona,Phoenix,4,1
2289382,"April 27, 2022",Arizona,Phoenix,4,0
2325328,"June 8, 2022",Arizona,Yuma,4,0
2348303,"July 3, 2022",Arizona,Surprise,4,2
2296224,"May 7, 2022",Florida,Miami,4,0
2352780,"July 6, 2022",Florida,Tampa,4,0
2227759,"February 6, 2022",Florida,"Fort Lauderdale",4,0
2315417,"May 28, 2022",Florida,Malabar,4,0
2373111,"July 29, 2022",Florida,Miami,4,0
2455484,"November 6, 2022",Florida,Gainesville,4,0
2425839,"September 27, 2022",Florida,Jacksonville,4,0
2214013,"January 18, 2022",Florida,Miami,4,0
2469354,"November 27, 2022",Florida,Tallahassee,4,1
2250151,"March 8, 2022",Florida,Jacksonville,4,1
2406656,"September 4, 2022",Florida,"Fort Lauderdale (Lauderdale Lakes)",4,0
2274296,"April 9, 2022",Florida,Miami,4,0
2373859,"July 30, 2022",Georgia,Girard,4,1
2387010,"August 13, 2022",Georgia,"Atlanta (College Park)",4,1
2291618,"April 30, 2022",Georgia,Atlanta,4,0
2247025,"March 5, 2022",Georgia,Atlanta,4,0
2468745,"November 26, 2022",Georgia,Atlanta,4,2
2381321,"August 7, 2022",Georgia,Atlanta,4,2
2438505,"October 16, 2022",Georgia,Atlanta,4,0
2443287,"October 22, 2022",Georgia,Cordele,4,0
2328265,"June 12, 2022",Indiana,Gary,4,2
2374750,"July 31, 2022",Indiana,"South Bend",4,0
2374401,"July 31, 2022",Indiana,Indianapolis,4,0
2201848,"January 1, 2022",Indiana,"South Bend",4,0
2328215,"June 12, 2022",Indiana,Indianapolis,4,0
2328342,"June 12, 2022",Colorado,Denver,4,2
2269059,"April 2, 2022",Colorado,"Colorado Springs",4,0
2209840,"January 12, 2022",Illinois,Chicago,4,0
2368018,"July 23, 2022",Illinois,Chicago,4,0
2405866,"September 3, 2022",Illinois,Yorkville,4,0
2256398,"March 17, 2022",Illinois,Chicago,4,0
2274803,"April 10, 2022",Illinois,Elgin,4,2
2359843,"July 14, 2022",Illinois,Chicago,4,0
2386871,"August 14, 2022",Illinois,Chicago,4,1
2396803,"August 24, 2022",Illinois,Chicago,4,0
2391779,"August 19, 2022",Illinois,Chicago,4,0
2421430,"September 22, 2022",Illinois,Chicago,4,0
2298836,"May 10, 2022",Illinois,Chicago,4,1
2352444,"July 6, 2022",Illinois,Chicago,4,0
2299660,"May 11, 2022",Illinois,Chicago,4,0
2346422,"July 1, 2022",Illinois,Chicago,4,0
2324496,"June 7, 2022",Illinois,Chicago,4,0
2392494,"August 19, 2022",Illinois,Chicago,4,1
2353847,"July 7, 2022",Illinois,Chicago,4,0
2390519,"August 17, 2022",Illinois,Chicago,4,0
2367176,"July 23, 2022",Illinois,Chicago,4,0
2288928,"April 27, 2022",Illinois,Chicago,4,0
2355438,"July 10, 2022",Illinois,Chicago,4,0
2356705,"July 10, 2022",Illinois,"Crest Hill",4,1
2452501,"November 3, 2022",Illinois,Chicago,4,0
2324475,"June 7, 2022",Illinois,Chicago,4,0
2327645,"June 11, 2022",Illinois,Chicago,4,1
2411871,"September 10, 2022",Kentucky,Lexington,4,0
2431842,"October 6, 2022",Kentucky,Louisville,4,0
2270747,"April 4, 2022",Kentucky,Covington,4,0
2247842,"March 6, 2022",Kentucky,Louisville,4,0
2334096,"June 17, 2022",Maryland,Baltimore,4,0
2425799,"September 28, 2022",Maryland,Baltimore,4,0
2466835,"November 23, 2022",Maryland,"Temple Hills",4,0
2450917,"November 1, 2022",Maryland,Baltimore,4,0
2328532,"June 12, 2022",Michigan,Roseville,4,0
2380361,"August 6, 2022",Michigan,Detroit,4,1
2417696,"September 18, 2022",Michigan,Allendale,4,0
2412198,"September 11, 2022",Michigan,Detroit,4,0
2327598,"June 11, 2022",Michigan,Detroit,4,0
2321193,"June 4, 2022",Michigan,Ecorse,4,0
2354825,"July 8, 2022",Michigan,Detroit,4,0
2412289,"September 11, 2022",Michigan,"Grand Rapids",4,0
